id_compra;numero_controle_pncp;numero_processo;lei_14133;uasg;sigla_campus;unidade_nome;modalidade;objeto;responsavel_declaracao;cargo_declaracao;responsavel_ratificacao;cargo_ratificacao;valor_estimado;valor_homologado;situacao;data_publicacao;amparo_legal_nome;origem_master
15584905000062019;;23347011810201811;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Registro de Preços para aquisição de materiais e equipamentos audiovisuais.;PEDRO JORGE CARDOSO DA SILVA RODRIGUES;Pregoeiro;;;255161.74;151507.56;homologado;2019-08-15;;LEG_E3
15584905000032019;;23347007547201858;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de materiais e equipamentos para o laboratório de química do IFMS - Campus Naviraí;PEDRO JORGE CARDOSO DA SILVA RODRIGUES;Pregoeiro;;;74191.59;47312.65;aberto;2019-05-31;;LEG_E3
15584905000012019;;23347000975201850;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de reagentes e insumos para laboratório;JOAO BATISTA DE MORAIS;Diretor de Administração;;;27474.81;17717.53;homologado;2019-03-27;;LEG_E3
15584905000022019;;23347000766201997;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Contratação de serviços terceirizados de limpeza, conservação e manutenção predial;PEDRO JORGE CARDOSO DA SILVA RODRIGUES;Pregoeiro;;;226591.80;0.00;suspenso;2019-04-29;;LEG_E3
15584905000072019;;23347007544201844;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de materiais e equipamentos para administração da sede e cursos do eixo de recursos naturais.;PEDRO JORGE CARDOSO DA SILVA RODRIGUES;Pregoeiro;;;447759.68;338977.13;homologado;2019-10-18;;LEG_E3
15584905000042019;;23347007879201832;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de materiais para o cerimonial do IFMS - Campus Naviraí.;PEDRO JORGE CARDOSO DA SILVA RODRIGUES;Pregoeiro;;;17385.66;10075.36;homologado;2019-09-13;;LEG_E3
15584905000022020;;23347019362201977;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de materiais e equipamentos para criação do laboratório de hardware/redes para o IFMS - Campus Naviraí.;PEDRO JORGE CARDOSO DA SILVA RODRIGUES;Pregoeiro;;;907070.84;462357.91;homologado;2020-06-23;;LEG_E3
15584905000012020;;23347020200201981;False;155849;NV;INSTITUTO FEDERAL DE MS/CAMPUS NAVIRAÍ;PREGÃO;Objeto: Pregão Eletrônico - Contratação de serviços terceirizados para o IFMS - Campus Naviraí e demais órgãos e entidades participantes.;PEDRO JORGE CARDOSO DA SILVA RODRIGUES;Pregoeiro;;;1610054.52;1267602.12;homologado;2020-04-28;;LEG_E3
15845305000012016;;23347014309201556;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - Registro de Preços para eventual contratação de empresa para prestação sob demanda de serviços especializados em manutenção predial, englobando manutenção preventiva e corretiva, serviços de engenharia de pequena monta, com fornecimento de mão de obra e materiais, equipamentos nas instalações dos prédios que abrigam o campus Ponta Porã e demais órgãos que vierem aderir a certame.;EDISON SILVA SOSA;Pregoeiro;;;775234.76;719975.45;homologado;2016-02-04;;LEG_E3
15845305000032016;;23347003624201639;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de Máquinas e Implementos Agrícolas para atender os cursos agrícolas do Campus de Ponta Porã.;CRISTINA APARECIDA CORREA AJALA;Assistente em Administração;;;384206.33;215100.00;homologado;2016-04-27;;LEG_E3
15845305000042016;;23347010516201612;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de gás liquefeito de petróleo (GLP) P13 e P45 para o IFMS campus Ponta Porã.;EDISON SILVA SOSA;Pregoeiro;;;17928.75;0.00;deserto;2016-07-13;;LEG_E3
15845305000062016;;23347010139201611;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de divisórias e portas para divisórias mediante sistema de registro de preço a fim de atender as necessidades do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul campus Ponta Porã.;EDISON SILVA SOSA;Pregoeiro;;;394983.47;237300.55;homologado;2016-08-04;;LEG_E3
15845305000072016;;23347004674201633;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - O objeto da presente licitação é o registro de preços do tipo menor preço por ITEM, depois de aplicado o maior desconto, para eventual aquisição de forma parcelada, no período de 12 (doze) meses, de Material Bibliográfico (livros nacionais), conforme as especificações técnicas e de quantitativos aproximados constantes no Termo de Referência.;EDISON SILVA SOSA;Pregoeiro;;;1651815.38;1287.79;homologado;2016-08-12;;LEG_E3
15845305000082016;;23347014459201641;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de recargas de gás P13 e P45 para atender as demandas do Instituto Federal de Educação Ciência e Tecnologia do Mato Grosso do Sul, Campus Ponta Porã.;EDISON SILVA SOSA;Pregoeiro;;;17339.75;17632.50;homologado;2016-10-13;;LEG_E3
15845305000092016;;23347005440201611;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - A licitação tem como objetivo o Registro de Preço para aquisição de materiais de escritório e equipamentos diversos, conforme condições, quantidades, exigências e estimativas contidas neste instrumento para o Câmpus de Ponta Porã-MS.;EDISON SILVA SOSA;Pregoeiro;;;191713.62;125922.45;homologado;2016-10-21;;LEG_E3
15845305000102016;;23347008474201650;False;158453;PP;;PREGÃO;Pregão Eletrônico Constitui objeto d a presente licitação, LOTE ÚNICO, o Registro de Preços para aquisição e instalação de equipame ntos para implantação de Circuito Fechado de T V.;EDISON SILVA SOSA;Pregoeiro;;;0;0;Publicado;2016-12-05;;LEG_E1
