codigo_pdm;codigo_natureza;nome_natureza;grupo;status_natureza
4400;33903021;MATERIAL DE CONSUMO - MATERIAL DE COPA E COZINHA;consumo;Ativo
4548;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
4550;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
4552;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
4560;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
4569;44905230;EQUIPAMENTOS E MATERIAL PERMANENTE - MAQUINAS E EQUIPAMENTOS ENERGETICOS;permanente;Ativo
4569;33903026;MATERIAL DE CONSUMO - MATERIAL ELETRICO E ELETRONICO;consumo;Ativo
4586;44905212;EQUIPAMENTOS E MATERIAL PERMANENTE - APARELHOS E UTENSILIOS DOMESTICOS;permanente;Ativo
5073;44905242;EQUIPAMENTOS E MATERIAL PERMANENTE - MOBILIARIO EM GERAL;permanente;Ativo
5282;33903021;MATERIAL DE CONSUMO - MATERIAL DE COPA E COZINHA;consumo;Ativo
5502;33903025;MATERIAL DE CONSUMO - MATERIAL P/ MANUTENCAO DE BENS MOVEIS;consumo;Ativo
5522;33903017;MATERIAL DE CONSUMO - MATERIAL DE TIC - MATERIAL DE CONSUMO;consumo;Ativo
5522;44905235;EQUIPAMENTOS E MATERIAL PERMANENTE - MATERIAL DE TIC (PERMANENTE);permanente;Ativo
6461;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
659;44905196;OBRAS E INSTALACOES - ALMOXARIFADO DE OBRAS;permanente;Ativo
659;33903024;MATERIAL DE CONSUMO - MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;consumo;Ativo
659;44903024;MATERIAL DE CONSUMO - MATERIAL DE CONSTRUCAO;permanente;Ativo
682;33909292;DESPESAS DE EXERCICIOS ANTERIORES - MATERIAL DE CONSUMO;consumo;Ativo
682;44903002;MATERIAL DE CONSUMO - COMBUSTIVEIS E LUBRIFICANTES DE AVIACAO;permanente;Ativo
682;44903003;MATERIAL DE CONSUMO - COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES;permanente;Ativo
682;33903002;MATERIAL DE CONSUMO - COMBUSTIVEIS E LUBRIFICANTES DE AVIACAO;consumo;Ativo
682;33903001;MATERIAL DE CONSUMO - COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS;consumo;Ativo
682;33903003;MATERIAL DE CONSUMO - COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES;consumo;Ativo
682;44903001;MATERIAL DE CONSUMO - COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS;permanente;Ativo
7261;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
