id_licitacao_pncp;id_ata_pncp;numero_ata;numero_item;material_cod;material_nome;fornecedor_cnpj;fornecedor_nome;valor_unitario;qtd_homologada;valor_total_item
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00279;447705;EMBUTIDO, TIPO LINGUIÇA TOSCANA, TAMANHO GROSSA, TIPO PREPARAÇÃO FRESCA, ESTADO DE CONSERVAÇÃO RESFRIADO(A);10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;14.35;720.0;10332.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00280;464401;FRUTA, TIPO MAÇÃ FUJI, APRESENTAÇÃO NATURAL;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;8.37;760.0;6361.2
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00281;458955;MACARRÃO, TEOR DE UMIDADE MASSA SECA, BASE DA MASSA DE SÊMOLA/SEMOLINA, INGREDIENTES ADICIONAIS COM OVOS, APRESENTAÇÃO ESPAGUETE;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;3.15;672.0;2116.8
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00282;464405;FRUTA, TIPO MAMÃO FORMOSA, APRESENTAÇÃO NATURAL;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;8.36;400.0;3344.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00283;463795;LEGUME IN NATURA, TIPO MANDIOCA/ AIPIM;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;6.91;360.0;2487.6
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00287;464418;FRUTA, TIPO MELANCIA VERMELHA, APRESENTAÇÃO NATURAL;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;3.94;700.0;2758.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00288;464422;FRUTA, TIPO MELÃO AMARELO, APRESENTAÇÃO NATURAL;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;4.09;450.0;1840.5
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00289;462824;LEGUME EM CONSERVA, TIPO MILHO VERDE;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;35.95;115.0;4134.25
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00290;416665;ÓLEO VEGETAL, MATÉRIA PRIMA SOJA, TIPO DEGOMADO;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;5.79;853.0;4938.87
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00291;446618;OVO, ORIGEM GALINHA, GRUPO BRANCO, CLASSE A, TIPO GRANDE;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;15.39;400.0;6156.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00292;460402;PÃO, BASE DE FARINHA DE TRIGO REFINADA, TIPO DE FORMA, TIPO ADICIONAL DE LEITE , APRESENTAÇÃO FATIADO, TIPO EMBALAGEM EMBALAGEM INDIVIDUAL;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;0.86;14400.0;12384.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00294;463796;LEGUME IN NATURA, TIPO PEPINO;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;6.78;720.0;4881.6
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00295;448953;PEIXE IN NATURA, VARIEDADE TILÁPIA, TIPO CORTE FILÉ, APRESENTAÇÃO SEM PELE, ESTADO DE CONSERVAÇÃO CONGELADO(A);40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;35.95;403.0;14487.85
